 Game Name,Dataset,Steam Id,Notes,"Format (720p, 720p60fps, etc)",Video Title,Video Url
,,,,,,
Terraria,terraria,105600,,"1080p60HD, 720p60",Terraria (2024) - Full Gameplay Longplay No Commentary,https://www.youtube.com/watch?v=dQJwZfvSPpk
Carrion,carrion,953490,,"1080p60HD, 720p60",CARRION - Full Game Gameplay Walkthrough 100% (No Commentary),https://www.youtube.com/watch?v=Iy-HyrhCxZk
Starbound,starbound,211820,,"1080p60HD, 720p60",Starbound: PC Full Storyline (No Commentary),https://www.youtube.com/watch?v=IK9T_uY5-Sc
Celeste,celeste,504230,,720p,Celeste Full Game Walkthrough - No Commentary (CELESTE Full Gameplay Walkthrough),https://www.youtube.com/watch?v=cbtYApvvGgc
Rain World,rain-world,312520,,"1080p60HD, 720p60",Rain World - Full Playthrough [No Commentary] [Survivor],https://www.youtube.com/watch?v=r-XUBIUn_zM
Phoenotopia Unleashed,phoenotopia-unleashed,1436590,VIEW FULL PLAYLIST,720p60,Let's play Phoenotopia Awakening! Ep.1,https://www.youtube.com/watch?v=3THrI6IElAM&list=PLj2otb2RsQC21LETjNIYYceb8QwxE7NmS
FEZ,fez,224760,,720p,Fez - Full Game Playthrough (No Commentary),https://www.youtube.com/watch?v=UIQIcOlCxas
Super Metroid,super-metroid-redesign-dataset,,steam id not found,720p60,Super Metroid (SNES) Playthrough - NintendoComplete,https://www.youtube.com/watch?v=Y9tufNHthJE
Super Metroid Redesign,super-metroid-redesign-dataset,,steam id not found,720p,Super Metroid Redesign 100% Speedrun in 2h38Min,https://www.youtube.com/watch?v=ryY-e2vmYGA
Super Metroid Redesign,super-metroid-redesign-dataset,,steam id not found,"720p60fps, 1080p60HD",Super Metroid: Redesign #1,https://www.youtube.com/watch?v=DN0c5gSaajs&list=PLtl4l889h2MixOBBf5vEtJlaVn4ZxYWg-
DeadCells,dead-cells,588650,,"2160p60k,1440p60HD,1080p60HD,720P60",DEAD CELLS Gameplay Walkthrough FULL GAME (4K 60FPS) No Commentary,https://www.youtube.com/watch?v=fpCX5TzsGQU
